method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.11911111111111111,1.0
fixed-2,fixed,"{""k"": 2}",0.16922222222222222,2.0
fixed-3,fixed,"{""k"": 3}",0.22718518518518518,3.0
fixed-4,fixed,"{""k"": 4}",0.27540740740740743,4.0
fixed-5,fixed,"{""k"": 5}",0.3122962962962963,5.0
fixed-6,fixed,"{""k"": 6}",0.3404074074074074,6.0
fixed-7,fixed,"{""k"": 7}",0.36062962962962963,7.0
fixed-8,fixed,"{""k"": 8}",0.3785925925925926,8.0
fixed-9,fixed,"{""k"": 9}",0.3937777777777778,9.0
fixed-10,fixed,"{""k"": 10}",0.40474074074074073,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.2067037037037037,2.526
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.2067037037037037,2.526
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.2078888888888889,2.5437037037037036
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.2078888888888889,2.5437037037037036
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.2182962962962963,2.6315185185185186
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.2182962962962963,2.6315185185185186
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.24474074074074073,2.9754814814814816
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.24474074074074073,2.9754814814814816
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.37162962962962964,7.228037037037037
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.37162962962962964,7.228037037037037
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.37192592592592594,7.243074074074074
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.37192592592592594,7.243074074074074
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.3744074074074074,7.314851851851852
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.3744074074074074,7.314851851851852
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.38081481481481483,7.552
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.38081481481481483,7.552
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.39944444444444444,8.559111111111111
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.39944444444444444,8.559111111111111
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.3997037037037037,8.576666666666666
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.3997037037037037,8.576666666666666
stab_r2_d0.35_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.40025925925925926,8.630777777777778
stab_r2_d0.35_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.40025925925925926,8.630777777777778
stab_r2_d0.35_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.40166666666666667,8.746518518518519
stab_r2_d0.35_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.40166666666666667,8.746518518518519
stab_r2_d0.5_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 1}",0.4032962962962963,9.243037037037038
stab_r2_d0.5_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 2}",0.4032962962962963,9.243037037037038
stab_r2_d0.5_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 1}",0.40344444444444444,9.258814814814814
stab_r2_d0.5_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 2}",0.40344444444444444,9.258814814814814
stab_r2_d0.5_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 1}",0.40344444444444444,9.28888888888889
stab_r2_d0.5_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 2}",0.40344444444444444,9.28888888888889
stab_r2_d0.5_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 1}",0.40385185185185185,9.343
