dataset,proto,mode,baseline_acc,baseline_scales,single_acc,adascale_acc,adascale_acc_excl_cal,adascale_scales,v3_acc,v3_delta_vs_baseline,v3_p_vs_baseline,scale_saving,delta_vs_baseline,p_vs_baseline,rel_entropy_diff_cal,fixed5_acc,fixed7_acc,fixed9_acc
PET,text,FUSED,0.8244925575101488,10.0,0.8009472259810555,0.8244925575101488,0.8229317851959361,6.632611637347767,0.8262516914749661,0.0017591339648173054,0.0788,0.3367388362652233,0.0,1.0,-0.008302357979118824,0.8121786197564276,0.8273342354533153,0.8257104194857916
PET,gen,FUSED,0.6092016238159675,10.0,0.5700947225981056,0.6096075778078485,0.6074020319303338,8.631664411366712,0.6115020297699594,0.0023004059539918353,0.0802,0.13683355886332882,0.0004059539918809252,0.4426,-0.00736458832398057,0.5903924221921516,0.6074424898511502,0.6113667117726658
EUROSAT,text,SINGLE,0.42377777777777775,10.0,0.45344444444444443,0.45344444444444443,0.4528301886792453,1.0,0.45344444444444443,0.029666666666666675,0.0,0.9,0.029666666666666675,0.0,0.08009199053049088,0.3291851851851852,0.3785925925925926,0.4106666666666667
EUROSAT,gen,SINGLE,0.36333333333333334,10.0,0.4117037037037037,0.4117037037037037,0.41252830188679246,1.0,0.4117037037037037,0.04837037037037034,0.0,0.9,0.04837037037037034,0.0,0.026562388986349106,0.22640740740740742,0.2904814814814815,0.3429259259259259
FLO,text,FUSED,0.651239467578459,10.0,0.6304799120771767,0.6514836976431799,0.6511900117050332,7.911344486506289,0.6517279277079009,0.0004884601294419255,0.6582,0.20886555134937113,0.00024423006472096276,0.2726,-0.00722414068877697,0.6293808767859324,0.6462327512516791,0.6508731224813774
FLO,gen,FUSED,0.4294785688118207,10.0,0.41299303944315546,0.4306997191354256,0.432956171153596,8.923433874709977,0.43301990475027474,0.0035413359384540155,0.0022,0.10765661252900238,0.0012211503236048693,0.002,0.004586977884173393,0.4192209060935401,0.43008914397362313,0.4308218341677861
CUB,text,FUSED,0.5390058681394546,10.0,0.5022437003797031,0.5391784604763549,0.5413675859463544,9.012426648256817,0.5402140144977563,0.0012081463583016872,0.5012,0.09875733517431828,0.00017259233690025688,0.7614,-0.00048512170906178653,0.5141525716258198,0.5405591991715568,0.5398688298239558
