policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6096075778078485,0.6092016238159675,0.00040595399188092014,-0.00040595399188092014,0.0013531799729364006,0.4426,False
AdaScale-v2,Single-10,0.6096075778078485,0.5700947225981056,0.039512855209742896,0.03247631935047361,0.04654939106901218,0.0,True
AdaScale-v2,AdaScale-v3,0.6096075778078485,0.6115020297699594,-0.0018944519621109607,-0.004330175913396482,0.00040595399188092014,0.1252,False
AdaScale-v2,Fixed-5,0.6096075778078485,0.5903924221921516,0.019215155615696887,0.011502029769959404,0.026792963464140732,0.0,True
AdaScale-v2,Fixed-7,0.6096075778078485,0.6074424898511502,0.002165087956698241,-0.003247631935047361,0.007713125845737483,0.4502,False
Full-10(fused),Single-10,0.6092016238159675,0.5700947225981056,0.03910690121786198,0.03220568335588633,0.046143437077131255,0.0,True
Full-10(fused),AdaScale-v3,0.6092016238159675,0.6115020297699594,-0.002300405953991881,-0.004871447902571042,0.00013531799729364006,0.0802,False
Full-10(fused),Fixed-5,0.6092016238159675,0.5903924221921516,0.01880920162381597,0.011096075778078484,0.02652232746955345,0.0,True
Full-10(fused),Fixed-7,0.6092016238159675,0.6074424898511502,0.0017591339648173206,-0.0037889039242219214,0.007307171853856563,0.5484,False
Single-10,AdaScale-v3,0.5700947225981056,0.6115020297699594,-0.041407307171853855,-0.0483085250338295,-0.03450608930987822,0.0,True
Single-10,Fixed-5,0.5700947225981056,0.5903924221921516,-0.02029769959404601,-0.03017591339648173,-0.010284167794316644,0.0,True
Single-10,Fixed-7,0.5700947225981056,0.6074424898511502,-0.03734776725304465,-0.046143437077131255,-0.02855209742895805,0.0,True
AdaScale-v3,Fixed-5,0.6115020297699594,0.5903924221921516,0.02110960757780785,0.013396481732070366,0.02882273342354533,0.0,True
AdaScale-v3,Fixed-7,0.6115020297699594,0.6074424898511502,0.0040595399188092015,-0.0016238159675236806,0.009746278755074377,0.1564,False
Fixed-5,Fixed-7,0.5903924221921516,0.6074424898511502,-0.017050067658998646,-0.02313937753721245,-0.010960757780784845,0.0,True
