policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6514836976431799,0.651239467578459,0.00024423006472096715,0.0,0.0006105751618024178,0.2726,False
AdaScale-v2,Single-10,0.6514836976431799,0.6304799120771767,0.021003785566003175,0.015874954206862864,0.02625473195750397,0.0,True
AdaScale-v2,AdaScale-v3,0.6514836976431799,0.6517279277079009,-0.00024423006472096715,-0.0020759555501282207,0.0015874954206862866,0.8416,False
AdaScale-v2,Fixed-5,0.6514836976431799,0.6293808767859324,0.02210282085724753,0.016119184271583833,0.02796434241055074,0.0,True
AdaScale-v2,Fixed-7,0.6514836976431799,0.6462327512516791,0.005250946391500794,0.000854805226523385,0.009647087556478202,0.0182,True
Full-10(fused),Single-10,0.651239467578459,0.6304799120771767,0.02075955550128221,0.015630724142141898,0.026010501892783002,0.0,True
Full-10(fused),AdaScale-v3,0.651239467578459,0.6517279277079009,-0.0004884601294419343,-0.002320185614849188,0.001465380388325803,0.6582,False
Full-10(fused),Fixed-5,0.651239467578459,0.6293808767859324,0.02185859079252656,0.015874954206862864,0.027720112345829773,0.0,True
Full-10(fused),Fixed-7,0.651239467578459,0.6462327512516791,0.005006716326779827,0.0006105751618024178,0.009402857491757234,0.0258,True
Single-10,AdaScale-v3,0.6304799120771767,0.6517279277079009,-0.02124801563072414,-0.026376846989864453,-0.016241299303944315,0.0,True
Single-10,Fixed-5,0.6304799120771767,0.6293808767859324,0.0010990352912443521,-0.006227866650384662,0.008425937232873366,0.7872,False
Single-10,Fixed-7,0.6304799120771767,0.6462327512516791,-0.015752839174502382,-0.022347050921968495,-0.009036512394675785,0.0,True
AdaScale-v3,Fixed-5,0.6517279277079009,0.6293808767859324,0.022347050921968495,0.0163634143363048,0.02833068750763219,0.0,True
AdaScale-v3,Fixed-7,0.6517279277079009,0.6462327512516791,0.005495176456221761,0.0009769202588838686,0.010013432653559654,0.0146,True
Fixed-5,Fixed-7,0.6293808767859324,0.6462327512516791,-0.016851874465746732,-0.021614360727805593,-0.012211503236048358,0.0,True
