policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.8244925575101488,0.8244925575101488,0.0,-0.0006765899864682003,0.0008119079837618403,1.0,False
AdaScale-v2,Single-10,0.8244925575101488,0.8009472259810555,0.02354533152909337,0.018403247631935047,0.02868741542625169,0.0,True
AdaScale-v2,AdaScale-v3,0.8244925575101488,0.8262516914749661,-0.0017591339648173206,-0.0035182679296346412,0.0,0.0608,False
AdaScale-v2,Fixed-5,0.8244925575101488,0.8121786197564276,0.012313937753721246,0.006495263870094722,0.017861975642760486,0.0,True
AdaScale-v2,Fixed-7,0.8244925575101488,0.8273342354533153,-0.002841677943166441,-0.006901217861975643,0.0012178619756427606,0.1798,False
Full-10(fused),Single-10,0.8244925575101488,0.8009472259810555,0.02354533152909337,0.018403247631935047,0.02882273342354533,0.0,True
Full-10(fused),AdaScale-v3,0.8244925575101488,0.8262516914749661,-0.0017591339648173206,-0.0037889039242219214,0.00013531799729364006,0.0788,False
Full-10(fused),Fixed-5,0.8244925575101488,0.8121786197564276,0.012313937753721246,0.006359945872801083,0.017861975642760486,0.0,True
Full-10(fused),Fixed-7,0.8244925575101488,0.8273342354533153,-0.002841677943166441,-0.006901217861975643,0.0012178619756427606,0.1816,False
Single-10,AdaScale-v3,0.8009472259810555,0.8262516914749661,-0.025304465493910692,-0.030581867388362653,-0.02016238159675237,0.0,True
Single-10,Fixed-5,0.8009472259810555,0.8121786197564276,-0.011231393775372125,-0.018673883626522326,-0.004194857916102842,0.002,True
Single-10,Fixed-7,0.8009472259810555,0.8273342354533153,-0.02638700947225981,-0.03301759133964818,-0.020027063599458727,0.0,True
AdaScale-v3,Fixed-5,0.8262516914749661,0.8121786197564276,0.014073071718538565,0.008254397834912044,0.019756427604871448,0.0,True
AdaScale-v3,Fixed-7,0.8262516914749661,0.8273342354533153,-0.0010825439783491205,-0.005277401894451962,0.0031123139377537213,0.6342,False
Fixed-5,Fixed-7,0.8121786197564276,0.8273342354533153,-0.015155615696887685,-0.019756427604871448,-0.010686738836265272,0.0,True
