policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.4294785688118207,0.43228721455611185,-0.002808645744291122,-0.004884601294419343,-0.000854805226523385,0.0064,10.0,7.573696422029552,True
Full-10,Fixed-5,0.4294785688118207,0.4192209060935401,0.01025766271828062,0.0042740261326169255,0.016241299303944315,0.0012,10.0,5.0,True
Full-10,Fixed-7,0.4294785688118207,0.43008914397362313,-0.0006105751618024178,-0.005250946391500794,0.004029796067895958,0.7994,10.0,7.0,False
Full-10,Fixed-9,0.4294785688118207,0.4308218341677861,-0.0013432653559653192,-0.003907681035535474,0.0012211503236048357,0.3282,10.0,9.0,False
Full-10,MarginOnly(0.3),0.4294785688118207,0.4282574184882159,0.0012211503236048357,-0.001953840517767737,0.004396141164977409,0.487,10.0,6.780559286848211,False
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.43228721455611185,0.4192209060935401,0.013066308462571742,0.007449016973989498,0.018683599951153988,0.0,7.573696422029552,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.43228721455611185,0.43008914397362313,0.0021980705824887043,-0.0021980705824887043,0.006472096715105629,0.3262,7.573696422029552,7.0,False
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.43228721455611185,0.4308218341677861,0.001465380388325803,-0.0015874954206862866,0.0045182561973378926,0.3614,7.573696422029552,9.0,False
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.43228721455611185,0.4282574184882159,0.004029796067895958,0.001465380388325803,0.006594211747466113,0.0024,7.573696422029552,6.780559286848211,True
Fixed-5,Fixed-7,0.4192209060935401,0.43008914397362313,-0.010868237880083039,-0.015508609109781414,-0.006227866650384662,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.4192209060935401,0.4308218341677861,-0.01160092807424594,-0.017340334595188668,-0.005861521553303212,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.4192209060935401,0.4282574184882159,-0.009036512394675785,-0.014531688850897546,-0.00341922090609354,0.001,5.0,6.780559286848211,True
Fixed-7,Fixed-9,0.43008914397362313,0.4308218341677861,-0.0007326901941629015,-0.00476248626205886,0.00341922090609354,0.7442,7.0,9.0,False
Fixed-7,MarginOnly(0.3),0.43008914397362313,0.4282574184882159,0.0018317254854072536,-0.0026865307119306385,0.006349981682745146,0.4434,7.0,6.780559286848211,False
Fixed-9,MarginOnly(0.3),0.4308218341677861,0.4282574184882159,0.002564415679570155,-0.0010990352912443521,0.006227866650384662,0.1852,9.0,6.780559286848211,False
