policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.859404600811908,0.8614343707713126,-0.0020297699594046007,-0.0035182679296346412,-0.0006765899864682003,0.0046,True
AdaScale-v2,Single-10,0.859404600811908,0.8453315290933694,0.014073071718538565,0.009336941813261163,0.01880920162381597,0.0,True
AdaScale-v2,Fixed-5,0.859404600811908,0.8370771312584574,0.022327469553450607,0.017320703653585928,0.02746955345060893,0.0,True
AdaScale-v2,Fixed-7,0.859404600811908,0.8553450608930988,0.0040595399188092015,0.0005412719891745603,0.007713125845737483,0.026,True
Full-10(fused),Single-10,0.8614343707713126,0.8453315290933694,0.016102841677943167,0.011637347767253045,0.020703653585926927,0.0,True
Full-10(fused),Fixed-5,0.8614343707713126,0.8370771312584574,0.02435723951285521,0.019215155615696887,0.029769959404600813,0.0,True
Full-10(fused),Fixed-7,0.8614343707713126,0.8553450608930988,0.006089309878213802,0.002435723951285521,0.009878213802435724,0.002,True
Single-10,Fixed-5,0.8453315290933694,0.8370771312584574,0.008254397834912044,0.0016204330175913426,0.014884979702300407,0.0162,True
Single-10,Fixed-7,0.8453315290933694,0.8553450608930988,-0.010013531799729363,-0.015832205683355888,-0.004194857916102842,0.0008,True
Fixed-5,Fixed-7,0.8370771312584574,0.8553450608930988,-0.018267929634641408,-0.02259810554803789,-0.013937753721244926,0.0,True
