policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6811576505067773,0.6810355354744169,0.00012211503236048357,0.0,0.00036634509708145075,0.7478,False
AdaScale-v2,Single-10,0.6811576505067773,0.6636952008792283,0.017462449627549153,0.012577848333129808,0.022469165954328976,0.0,True
AdaScale-v2,AdaScale-v3,0.6811576505067773,0.6822566857980218,-0.0010990352912443521,-0.002808645744291122,0.0006105751618024178,0.23,False
AdaScale-v2,Fixed-5,0.6811576505067773,0.6630846257174258,0.01807302478935157,0.012455733300769324,0.02356820124557333,0.0,True
AdaScale-v2,Fixed-7,0.6811576505067773,0.6781047746977653,0.0030528758090120896,-0.0010990352912443521,0.007204786909268531,0.159,False
Full-10(fused),Single-10,0.6810355354744169,0.6636952008792283,0.017340334595188668,0.012455733300769324,0.022347050921968495,0.0,True
Full-10(fused),AdaScale-v3,0.6810355354744169,0.6822566857980218,-0.0012211503236048357,-0.002930760776651606,0.0004884601294419343,0.1846,False
Full-10(fused),Fixed-5,0.6810355354744169,0.6630846257174258,0.017950909756991085,0.012333618268408841,0.023446086213212848,0.0,True
Full-10(fused),Fixed-7,0.6810355354744169,0.6781047746977653,0.002930760776651606,-0.0012211503236048357,0.0070826718769080475,0.1738,False
Single-10,AdaScale-v3,0.6636952008792283,0.6822566857980218,-0.018561484918793503,-0.02356820124557333,-0.01367688362437416,0.0,True
Single-10,Fixed-5,0.6636952008792283,0.6630846257174258,0.0006105751618024178,-0.006472096715105629,0.007571132006349982,0.8922,False
Single-10,Fixed-7,0.6636952008792283,0.6781047746977653,-0.014409573818537061,-0.020637440468921724,-0.0081817071681524,0.0,True
AdaScale-v3,Fixed-5,0.6822566857980218,0.6630846257174258,0.01917206008059592,0.013432653559653193,0.025033581633899134,0.0,True
AdaScale-v3,Fixed-7,0.6822566857980218,0.6781047746977653,0.0041519111002564415,-0.00012211503236048357,0.008425937232873366,0.0612,False
Fixed-5,Fixed-7,0.6630846257174258,0.6781047746977653,-0.01502014898033948,-0.01941629014531689,-0.010746122847722554,0.0,True
