policy_A,policy_B,acc_A,acc_B,delta_acc,ci95_lo,ci95_hi,p_two_sided,avg_scales_A,avg_scales_B,significant_5pct
Full-10,"AdaScale(r4,d0.25,e0.01)",0.36333333333333334,0.2811111111111111,0.08222222222222222,0.07892592592592593,0.08566666666666667,0.0,10.0,5.400074074074074,True
Full-10,Fixed-5,0.36333333333333334,0.22640740740740742,0.13692592592592592,0.1325185185185185,0.1412962962962963,0.0,10.0,5.0,True
Full-10,Fixed-7,0.36333333333333334,0.2904814814814815,0.07285185185185185,0.06937037037037037,0.07633333333333334,0.0,10.0,7.0,True
Full-10,Fixed-9,0.36333333333333334,0.3429259259259259,0.02040740740740741,0.01837037037037037,0.022482407407407392,0.0,10.0,9.0,True
Full-10,MarginOnly(0.3),0.36333333333333334,0.19796296296296295,0.16537037037037036,0.16085185185185186,0.1698888888888889,0.0,10.0,3.4523333333333333,True
"AdaScale(r4,d0.25,e0.01)",Fixed-5,0.2811111111111111,0.22640740740740742,0.054703703703703706,0.05159259259259259,0.05792592592592593,0.0,5.400074074074074,5.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-7,0.2811111111111111,0.2904814814814815,-0.009370370370370371,-0.012444444444444444,-0.00637037037037037,0.0,5.400074074074074,7.0,True
"AdaScale(r4,d0.25,e0.01)",Fixed-9,0.2811111111111111,0.3429259259259259,-0.061814814814814815,-0.06507407407407408,-0.05862962962962963,0.0,5.400074074074074,9.0,True
"AdaScale(r4,d0.25,e0.01)",MarginOnly(0.3),0.2811111111111111,0.19796296296296295,0.08314814814814815,0.07977777777777778,0.08648148148148148,0.0,5.400074074074074,3.4523333333333333,True
Fixed-5,Fixed-7,0.22640740740740742,0.2904814814814815,-0.06407407407407407,-0.06725925925925925,-0.061,0.0,5.0,7.0,True
Fixed-5,Fixed-9,0.22640740740740742,0.3429259259259259,-0.11651851851851852,-0.1205925925925926,-0.11237037037037037,0.0,5.0,9.0,True
Fixed-5,MarginOnly(0.3),0.22640740740740742,0.19796296296296295,0.028444444444444446,0.025517592592592595,0.03137037037037037,0.0,5.0,3.4523333333333333,True
Fixed-7,Fixed-9,0.2904814814814815,0.3429259259259259,-0.052444444444444446,-0.05548148148148148,-0.04940740740740741,0.0,7.0,9.0,True
Fixed-7,MarginOnly(0.3),0.2904814814814815,0.19796296296296295,0.09251851851851851,0.0887037037037037,0.09633333333333334,0.0,7.0,3.4523333333333333,True
Fixed-9,MarginOnly(0.3),0.3429259259259259,0.19796296296296295,0.14496296296296296,0.14055555555555554,0.1492962962962963,0.0,9.0,3.4523333333333333,True
