policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.4306997191354256,0.4294785688118207,0.0012211503236048357,0.0004884601294419343,0.0020759555501282207,0.002,True
AdaScale-v2,Single-10,0.4306997191354256,0.41299303944315546,0.01770667969227012,0.012333618268408841,0.023079741116131397,0.0,True
AdaScale-v2,AdaScale-v3,0.4306997191354256,0.43301990475027474,-0.002320185614849188,-0.004396141164977409,-0.00024423006472096715,0.0326,True
AdaScale-v2,Fixed-5,0.4306997191354256,0.4192209060935401,0.011478813041885456,0.005495176456221761,0.017462449627549153,0.0,True
AdaScale-v2,Fixed-7,0.4306997191354256,0.43008914397362313,0.0006105751618024178,-0.003907681035535474,0.00512883135914031,0.8172,False
Full-10(fused),Single-10,0.4294785688118207,0.41299303944315546,0.01648552936866528,0.011234582977164488,0.021736475760166078,0.0,True
Full-10(fused),AdaScale-v3,0.4294785688118207,0.43301990475027474,-0.0035413359384540237,-0.005861521553303212,-0.0013432653559653192,0.0022,True
Full-10(fused),Fixed-5,0.4294785688118207,0.4192209060935401,0.01025766271828062,0.0042740261326169255,0.016241299303944315,0.0012,True
Full-10(fused),Fixed-7,0.4294785688118207,0.43008914397362313,-0.0006105751618024178,-0.005250946391500794,0.004029796067895958,0.7994,False
Single-10,AdaScale-v3,0.41299303944315546,0.43301990475027474,-0.020026865307119307,-0.025399926730980585,-0.014775918915618512,0.0,True
Single-10,Fixed-5,0.41299303944315546,0.4192209060935401,-0.006227866650384662,-0.014043228721455612,0.0015874954206862866,0.1168,False
Single-10,Fixed-7,0.41299303944315546,0.43008914397362313,-0.017096104530467702,-0.02393454634265478,-0.010135547685920137,0.0,True
AdaScale-v3,Fixed-5,0.43301990475027474,0.4192209060935401,0.013798998656734644,0.007690194162901456,0.020026865307119307,0.0,True
AdaScale-v3,Fixed-7,0.43301990475027474,0.43008914397362313,0.002930760776651606,-0.00170961045304677,0.007693247038710466,0.2376,False
Fixed-5,Fixed-7,0.4192209060935401,0.43008914397362313,-0.010868237880083039,-0.015508609109781414,-0.006227866650384662,0.0,True
