method,acc,avg_scales
r3_d0.25_e1.0,0.8129905277401894,4.451556156968877
r3_d0.25_e0.03,0.8174560216508796,4.652232746955345
r3_d0.25_e0.01,0.823274695534506,5.025981055480379
r3_d0.35_e1.0,0.8181326116373477,4.729769959404601
r3_d0.35_e0.03,0.8204330175913397,4.918538565629229
r3_d0.35_e0.01,0.8246278755074425,5.2645466847090665
r3_d0.45_e1.0,0.8204330175913397,5.058457374830852
r3_d0.45_e0.03,0.8219215155615697,5.222462787550744
r3_d0.45_e0.01,0.8247631935047361,5.530581867388363
r3_d0.55_e1.0,0.822192151556157,5.443166441136671
r3_d0.55_e0.03,0.8230040595399188,5.586738836265224
r3_d0.55_e0.01,0.8242219215155616,5.846008119079838
r3_d0.65_e1.0,0.823274695534506,5.854397834912043
r3_d0.65_e0.03,0.8235453315290934,5.975913396481732
r3_d0.65_e0.01,0.823680649526387,6.200947225981055
r3_d0.75_e1.0,0.8239512855209743,6.386468200270636
r3_d0.75_e0.03,0.8239512855209743,6.480378890392422
r3_d0.75_e0.01,0.8242219215155616,6.650067658998647
r4_d0.25_e1.0,0.8225981055480379,5.4514208389715835
r4_d0.25_e0.03,0.8235453315290934,5.498917456021651
r4_d0.25_e0.01,0.8263870094722598,5.66468200270636
r4_d0.35_e1.0,0.8239512855209743,5.6619756427604875
r4_d0.35_e0.03,0.8239512855209743,5.701623815967523
r4_d0.35_e0.01,0.8254397834912043,5.849120433017592
r4_d0.45_e1.0,0.8250338294993234,5.909066305818674
r4_d0.45_e0.03,0.8251691474966171,5.941542625169148
r4_d0.45_e0.01,0.8261163734776725,6.074695534506089
r4_d0.55_e1.0,0.8250338294993234,6.194857916102841
r4_d0.55_e0.03,0.8253044654939107,6.22489851150203
r4_d0.55_e0.01,0.8251691474966171,6.335723951285521
r4_d0.65_e1.0,0.8244925575101488,6.507577807848444
r4_d0.65_e0.03,0.8246278755074425,6.534235453315291
r4_d0.65_e0.01,0.8244925575101488,6.632611637347767
r4_d0.75_e1.0,0.8246278755074425,6.932611637347767
r4_d0.75_e0.03,0.8246278755074425,6.952503382949932
r4_d0.75_e0.01,0.8246278755074425,7.025439783491204
