method,acc,avg_scales,fixed_ref_acc,gain
r3_d0.25_e1.0,0.59851150202977,5.670365358592693,0.5982844094989938,0.0002270925307762406
r3_d0.25_e0.03,0.6008119079837618,5.855074424898511,0.6004589276002937,0.00035298038346809335
r3_d0.25_e0.01,0.6063599458728011,6.292828146143437,0.6037104597699045,0.0026494861028966143
r3_d0.35_e1.0,0.605277401894452,6.390392422192152,0.6042253456651547,0.0010520562292972713
r3_d0.35_e0.03,0.6062246278755075,6.543031123139378,0.6050308814347004,0.001193746440807053
r3_d0.35_e0.01,0.6082543978349121,6.880784844384303,0.6068133435630566,0.0014410542718554797
r3_d0.45_e1.0,0.6075778078484438,7.02936400541272,0.6074861981136049,9.160973483890444e-05
r3_d0.45_e0.03,0.6079837618403248,7.150879566982408,0.6076670737803528,0.00031668805997198124
r3_d0.45_e0.01,0.6092016238159675,7.419215155615697,0.6080664907593738,0.00113513305659374
r3_d0.55_e1.0,0.6074424898511502,7.659810554803789,0.608424616522712,-0.0009821266715617227
r3_d0.55_e0.03,0.6079837618403248,7.753856562922869,0.6085646038149055,-0.000580841974580748
r3_d0.55_e0.01,0.6085250338294993,7.93531799729364,0.6088347087916414,-0.00030967496214207024
r3_d0.65_e1.0,0.6087956698240866,8.263870094722598,0.6095737025311241,-0.0007780327070374682
r3_d0.65_e0.03,0.6093369418132611,8.32489851150203,0.6097223509075828,-0.0003854090943216093
r3_d0.65_e0.01,0.6094722598105548,8.446414073071718,0.6100183292713519,-0.0005460694607971606
r4_d0.25_e1.0,0.6070365358592693,6.595263870094723,0.6053065346324349,0.0017300012268344211
r4_d0.25_e0.03,0.6078484438430312,6.642083897158322,0.6055536227319587,0.002294821111072487
r4_d0.25_e0.01,0.6094722598105548,6.814073071718538,0.606461278727608,0.0030109810829467287
r4_d0.35_e1.0,0.6089309878213802,7.130446549391069,0.6076366592751423,0.0012943285462378995
r4_d0.35_e0.03,0.6090663058186739,7.165493910690122,0.6076888272012979,0.0013774786173760267
r4_d0.35_e0.01,0.6098782138024357,7.300676589986468,0.6078900463450407,0.0019881674573949404
r4_d0.45_e1.0,0.6089309878213802,7.618132611637348,0.6083625789889053,0.000568408832474887
r4_d0.45_e0.03,0.6092016238159675,7.643572395128552,0.6084004460549951,0.000801177760972438
r4_d0.45_e0.01,0.6097428958051421,7.760893098782138,0.6085750776842495,0.0011678181208926164
r4_d0.55_e1.0,0.6098782138024357,8.111502029769959,0.6092025759859079,0.0006756378165277965
r4_d0.55_e0.03,0.6096075778078485,8.13342354533153,0.6092559707464097,0.0003516070614387745
r4_d0.55_e0.01,0.6097428958051421,8.211366711772666,0.6094458187837494,0.00029707702139269987
r4_d0.65_e1.0,0.6098782138024357,8.569688768606225,0.6103185923998528,-0.0004403785974170793
r4_d0.65_e0.03,0.6098782138024357,8.581867388362653,0.6103482561556871,-0.00047004235325143195
r4_d0.65_e0.01,0.6096075778078485,8.631664411366712,0.6104695479573208,-0.0008619701494723131
