method,kind,params,acc,avg_scales
stab_r2_d0.65_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 1}",0.8204330175913397,5.3833558863328825
stab_r2_d0.65_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 2}",0.8204330175913397,5.3833558863328825
stab_r2_d0.65_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 1}",0.8207036535859269,5.512313937753722
stab_r2_d0.65_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 2}",0.8207036535859269,5.512313937753722
stab_r2_d0.65_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 1}",0.8223274695534506,5.745466847090663
stab_r2_d0.65_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 2}",0.8223274695534506,5.745466847090663
stab_r3_d0.0_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.7906630581867389,3.892151556156969
stab_r3_d0.0_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.7906630581867389,3.892151556156969
stab_r3_d0.0_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.7918809201623817,3.9303112313937754
stab_r3_d0.0_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.7918809201623817,3.9303112313937754
stab_r3_d0.0_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.7955345060893099,4.013261163734777
stab_r3_d0.0_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.7955345060893099,4.013261163734777
stab_r3_d0.0_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.804871447902571,4.244384303112314
stab_r3_d0.0_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.804871447902571,4.244384303112314
stab_r3_d0.2_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.8100135317997293,4.317320703653586
stab_r3_d0.2_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.8100135317997293,4.317320703653586
stab_r3_d0.2_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.8106901217861976,4.353179972936401
stab_r3_d0.2_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.8106901217861976,4.353179972936401
stab_r3_d0.2_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.812043301759134,4.425575101488498
stab_r3_d0.2_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.812043301759134,4.425575101488498
stab_r3_d0.2_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.8185385656292287,4.639918809201624
stab_r3_d0.2_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.8185385656292287,4.639918809201624
stab_r3_d0.35_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.8181326116373477,4.729769959404601
stab_r3_d0.35_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.8181326116373477,4.729769959404601
stab_r3_d0.35_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.8184032476319351,4.766035182679296
