method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.31434370771312586,1.0
fixed-2,fixed,"{""k"": 2}",0.46576454668470907,2.0
fixed-3,fixed,"{""k"": 3}",0.5483085250338295,3.0
fixed-4,fixed,"{""k"": 4}",0.586468200270636,4.0
fixed-5,fixed,"{""k"": 5}",0.6136671177266576,5.0
fixed-6,fixed,"{""k"": 6}",0.6303112313937753,6.0
fixed-7,fixed,"{""k"": 7}",0.6365358592692828,7.0
fixed-8,fixed,"{""k"": 8}",0.6414073071718539,8.0
fixed-9,fixed,"{""k"": 9}",0.6428958051420839,9.0
fixed-10,fixed,"{""k"": 10}",0.6416779431664411,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.5313937753721245,2.7115020297699592
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.5313937753721245,2.7115020297699592
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.5446549391069012,2.8936400541271987
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.5446549391069012,2.8936400541271987
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.5640054127198918,3.16914749661705
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.5640054127198918,3.16914749661705
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.5870094722598106,3.7317997293640053
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.5870094722598106,3.7317997293640053
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.5994587280108254,4.209878213802436
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.5994587280108254,4.209878213802436
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.6037889039242219,4.364817320703653
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.6037889039242219,4.364817320703653
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.6109607577807848,4.594181326116374
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.6109607577807848,4.594181326116374
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.6230040595399188,5.078890392422192
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.6230040595399188,5.078890392422192
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.6254397834912043,5.578349120433018
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.6254397834912043,5.578349120433018
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.6265223274695535,5.687821380243572
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.6265223274695535,5.687821380243572
