method,kind,params,acc,avg_scales
fixed-1,fixed,"{""k"": 1}",0.447361299052774,1.0
fixed-2,fixed,"{""k"": 2}",0.6818673883626523,2.0
fixed-3,fixed,"{""k"": 3}",0.7790257104194858,3.0
fixed-4,fixed,"{""k"": 4}",0.8204330175913397,4.0
fixed-5,fixed,"{""k"": 5}",0.8370771312584574,5.0
fixed-6,fixed,"{""k"": 6}",0.8497970230040596,6.0
fixed-7,fixed,"{""k"": 7}",0.8553450608930988,7.0
fixed-8,fixed,"{""k"": 8}",0.8591339648173207,8.0
fixed-9,fixed,"{""k"": 9}",0.8618403247631935,9.0
fixed-10,fixed,"{""k"": 10}",0.8614343707713126,10.0
stab_r2_d0.0_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.7539918809201623,2.6115020297699596
stab_r2_d0.0_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.7539918809201623,2.6115020297699596
stab_r2_d0.0_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.7728010825439784,2.8527740189445194
stab_r2_d0.0_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.7728010825439784,2.8527740189445194
stab_r2_d0.0_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.7939106901217862,3.1230040595399187
stab_r2_d0.0_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.7939106901217862,3.1230040595399187
stab_r2_d0.0_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.816508795669824,3.5903924221921515
stab_r2_d0.0_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.816508795669824,3.5903924221921515
stab_r2_d0.2_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.8032476319350473,3.1208389715832205
stab_r2_d0.2_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.8032476319350473,3.1208389715832205
stab_r2_d0.2_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.8127198917456022,3.3393775372124495
stab_r2_d0.2_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.8127198917456022,3.3393775372124495
stab_r2_d0.2_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.8257104194857916,3.5899864682002707
stab_r2_d0.2_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.8257104194857916,3.5899864682002707
stab_r2_d0.2_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.8385656292286874,4.010825439783491
stab_r2_d0.2_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.8385656292286874,4.010825439783491
stab_r2_d0.35_e1.0_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.8265223274695535,3.6572395128552095
stab_r2_d0.35_e1.0_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.8265223274695535,3.6572395128552095
stab_r2_d0.35_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.8315290933694182,3.8483085250338296
stab_r2_d0.35_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.8315290933694182,3.8483085250338296
stab_r2_d0.35_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.8397834912043302,4.078484438430311
stab_r2_d0.35_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.8397834912043302,4.078484438430311
