method,acc,avg_scales,fixed_ref_acc,gain
r3_d0.25_e1.0,0.42984491390890217,6.753571864696545,0.4285845149877674,0.0012603989211347755
r3_d0.25_e0.03,0.43155452436194897,6.882281108804494,0.42937038166323416,0.0021841426987148083
r3_d0.25_e0.01,0.43228721455611185,7.225424349737453,0.43033689328949043,0.0019503212666214242
r3_d0.35_e1.0,0.4308218341677861,7.4103065087312245,0.43054008530694604,0.0002817488608400365
r3_d0.35_e0.03,0.431310294297228,7.50006105751618,0.4306387287236104,0.000671565573617583
r3_d0.35_e0.01,0.4314324093295885,7.744046892172427,0.43090687776646136,0.000525531563127124
r3_d0.45_e1.0,0.4304554890707046,7.900354133593845,0.4310786649410605,-0.0006231758703559298
r3_d0.45_e0.03,0.43106606423250704,7.96959335694224,0.4311547612910588,-8.869705855174548e-05
r3_d0.45_e0.01,0.4314324093295885,8.15410917083893,0.4311317221257154,0.00030068720387310677
r3_d0.55_e1.0,0.431310294297228,8.304066430577604,0.43107678601883836,0.00023350827838963806
r3_d0.55_e0.03,0.43167663939430945,8.35596531933081,0.43105777311539967,0.0006188662789097799
r3_d0.55_e0.01,0.431310294297228,8.493955305898156,0.4310072211603744,0.0003030731368536266
r3_d0.65_e1.0,0.43106606423250704,8.65673464403468,0.4309475877479419,0.00011847648456514426
r3_d0.65_e0.03,0.4311881792648675,8.693979728904628,0.4309339431937094,0.0002542360711580982
r3_d0.65_e0.01,0.43094394920014656,8.79277079008426,0.4308977515728108,4.619762733576449e-05
r4_d0.25_e1.0,0.43167663939430945,7.402246916595433,0.43053122753075573,0.0011454118635537136
r4_d0.25_e0.03,0.4314324093295885,7.423372817193797,0.4305544456410727,0.0008779636885157815
r4_d0.25_e0.01,0.43228721455611185,7.573696422029552,0.43071965658789424,0.0015675579682176144
r4_d0.35_e1.0,0.43167663939430945,7.87873977286604,0.43105490999582297,0.0006217293984864813
r4_d0.35_e0.03,0.43106606423250704,7.896568567590671,0.4310745044704257,-8.440237918683202e-06
r4_d0.35_e0.01,0.431310294297228,8.013798998656736,0.431183124069365,0.00012717022786301602
r4_d0.45_e1.0,0.4319208694590304,8.265478080351691,0.4310909226717481,0.0008299467872823207
r4_d0.45_e0.03,0.4314324093295885,8.278300158749541,0.4310862253661926,0.000346183963395863
r4_d0.45_e0.01,0.431310294297228,8.358407619978019,0.431056878390532,0.00025341590669603065
r4_d0.55_e1.0,0.4311881792648675,8.592746367077787,0.43097102953947575,0.00021714972539177424
r4_d0.55_e0.03,0.4311881792648675,8.602515569666625,0.4309674506400049,0.00022072862486260947
r4_d0.55_e0.01,0.43094394920014656,8.662229820490902,0.43094557461698957,-1.6254168430096527e-06
r4_d0.65_e1.0,0.4305776041030651,8.877030162412993,0.43086688356487496,-0.00028927946180984376
r4_d0.65_e0.03,0.4305776041030651,8.884845524484064,0.4308640204452983,-0.0002864163422331978
r4_d0.65_e0.01,0.4306997191354256,8.923433874709977,0.4308498837923886,-0.0001501646569629922
