method,kind,params,acc,avg_scales
stab_r2_d0.65_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 1}",0.6481865917694468,7.134082305531811
stab_r2_d0.65_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 2}",0.6481865917694468,7.134082305531811
stab_r2_d0.65_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 1}",0.6490413969959702,7.228721455611185
stab_r2_d0.65_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 2}",0.6490413969959702,7.228721455611185
stab_r2_d0.65_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 1}",0.6503846623519355,7.413725729637318
stab_r2_d0.65_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 2}",0.6503846623519355,7.413725729637318
stab_r3_d0.0_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.6124068872878251,4.081694956649163
stab_r3_d0.0_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.6124068872878251,4.081694956649163
stab_r3_d0.0_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.613383807546709,4.1028208572475275
stab_r3_d0.0_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.613383807546709,4.1028208572475275
stab_r3_d0.0_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.6172914885822445,4.186103309317377
stab_r3_d0.0_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.6172914885822445,4.186103309317377
stab_r3_d0.0_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.6262058859445597,4.505189888875321
stab_r3_d0.0_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.6262058859445597,4.505189888875321
stab_r3_d0.2_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.6384173891806081,5.253877152277445
stab_r3_d0.2_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.6384173891806081,5.253877152277445
stab_r3_d0.2_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.6385395042129686,5.266577115642936
stab_r3_d0.2_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.6385395042129686,5.266577115642936
stab_r3_d0.2_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.639394309439492,5.326901941629014
stab_r3_d0.2_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.639394309439492,5.326901941629014
stab_r3_d0.2_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 1}",0.6433019904750275,5.564904139699597
stab_r3_d0.2_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.02, ""min_scale"": 2}",0.6433019904750275,5.564904139699597
stab_r3_d0.35_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 1}",0.6452558309927953,6.048235437782391
stab_r3_d0.35_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 1.0, ""min_scale"": 2}",0.6452558309927953,6.048235437782391
stab_r3_d0.35_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 1}",0.6453779460251557,6.058859445597753
stab_r3_d0.35_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.6453779460251557,6.058859445597753
stab_r3_d0.35_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.6455000610575162,6.107583343509586
stab_r3_d0.35_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.6455000610575162,6.107583343509586
stab_r3_d0.35_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.646965441445842,6.274880937843449
stab_r3_d0.35_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.646965441445842,6.274880937843449
stab_r3_d0.5_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 1}",0.6485529368665283,6.737086335327879
stab_r3_d0.5_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 2}",0.6485529368665283,6.737086335327879
stab_r3_d0.5_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 1}",0.6486750518988887,6.74746611307852
stab_r3_d0.5_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 2}",0.6486750518988887,6.74746611307852
stab_r3_d0.5_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 1}",0.6489192819636097,6.785566003174991
stab_r3_d0.5_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 2}",0.6489192819636097,6.785566003174991
stab_r3_d0.5_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 1}",0.6494077420930516,6.904994504823544
stab_r3_d0.5_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 2}",0.6494077420930516,6.904994504823544
stab_r3_d0.65_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 1}",0.6506288924166564,7.428745878617658
stab_r3_d0.65_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 2}",0.6506288924166564,7.428745878617658
stab_r3_d0.65_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 1}",0.6506288924166564,7.436683355721089
stab_r3_d0.65_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 2}",0.6506288924166564,7.436683355721089
stab_r3_d0.65_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 1}",0.6508731224813774,7.461472707290268
stab_r3_d0.65_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 2}",0.6508731224813774,7.461472707290268
stab_r3_d0.65_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 1}",0.6511173525460984,7.539870558065698
stab_r3_d0.65_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 2}",0.6511173525460984,7.539870558065698
margin_d0.2,margin_only,"{""delta"": 0.2}",0.6052021003785566,3.8589571376236416
margin_d0.35,margin_only,"{""delta"": 0.35}",0.6313347173037,5.09586030040298
margin_d0.5,margin_only,"{""delta"": 0.5}",0.6414702649896202,6.090120893882037
margin_d0.65,margin_only,"{""delta"": 0.65}",0.6476981316400049,6.993283673220174
