method,kind,params,acc,avg_scales
stab_r2_d0.65_e0.1_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 1}",0.42385185185185187,9.77111111111111
stab_r2_d0.65_e0.1_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 2}",0.42385185185185187,9.77111111111111
stab_r2_d0.65_e0.05_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 1}",0.4238148148148148,9.776814814814815
stab_r2_d0.65_e0.05_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 2}",0.4238148148148148,9.776814814814815
stab_r2_d0.65_e0.02_m1,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 1}",0.42377777777777775,9.790074074074074
stab_r2_d0.65_e0.02_m2,stability,"{""r"": 2, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 2}",0.42377777777777775,9.790074074074074
stab_r3_d0.0_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 1}",0.3158888888888889,4.410777777777778
stab_r3_d0.0_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 1.0, ""min_scale"": 2}",0.3158888888888889,4.410777777777778
stab_r3_d0.0_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 1}",0.3158888888888889,4.4115925925925925
stab_r3_d0.0_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.1, ""min_scale"": 2}",0.3158888888888889,4.4115925925925925
stab_r3_d0.0_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 1}",0.31637037037037036,4.423074074074074
stab_r3_d0.0_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.05, ""min_scale"": 2}",0.31637037037037036,4.423074074074074
stab_r3_d0.0_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 1}",0.322037037037037,4.527592592592592
stab_r3_d0.0_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.0, ""eps"": 0.02, ""min_scale"": 2}",0.322037037037037,4.527592592592592
stab_r3_d0.2_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 1}",0.40255555555555556,7.725592592592593
stab_r3_d0.2_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 1.0, ""min_scale"": 2}",0.40255555555555556,7.725592592592593
stab_r3_d0.2_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 1}",0.40255555555555556,7.726333333333334
stab_r3_d0.2_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.1, ""min_scale"": 2}",0.40255555555555556,7.726333333333334
stab_r3_d0.2_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 1}",0.4024814814814815,7.736185185185185
stab_r3_d0.2_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.2, ""eps"": 0.05, ""min_scale"": 2}",0.4024814814814815,7.736185185185185
